type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,0,0,109808964317.8411,197.5387952282362,156.66666666666666
DDR4-1.3333333,0,5,106454203298.35083,169.23910304862684,136.19047619047618
DDR4-1.3333333,0,10,102556401799.10045,150.69694251326905,122.38095238095238
DDR4-1.3333333,0,15,92343076461.76912,127.84016784283806,96.66666666666666
DDR4-1.3333333,0,20,84685231784.10796,120.59141532719282,87.14285714285714
DDR4-1.3333333,0,25,80560676461.76912,113.74149659863946,81.9047619047619
DDR4-1.3333333,0,30,78431769715.14244,114.78499971417138,82.85714285714285
DDR4-1.3333333,0,35,74445711544.22789,110.65355898456944,82.85714285714285
DDR4-1.3333333,0,40,64935282758.62069,103.35652442795299,70.95238095238095
DDR4-1.3333333,0,45,62121950224.887566,101.20277147896195,67.14285714285714
DDR4-1.3333333,0,50,60298382008.99551,99.76423854213218,66.19047619047619
DDR4-1.3333333,0,55,58897492053.97301,99.75450618203486,66.66666666666666
DDR4-1.3333333,0,60,57620188305.84708,99.04185152321797,66.66666666666666
DDR4-1.3333333,0,65,55832218290.854576,98.09019722997112,64.76190476190476
DDR4-1.3333333,0,70,54324668065.96702,96.39072530420619,63.80952380952381
DDR4-1.3333333,0,80,50765788305.847084,95.43998858284573,60.476190476190474
DDR4-1.3333333,0,90,46667562218.89055,93.706457925636,61.904761904761905
DDR4-1.3333333,0,100,35468099550.224884,89.15197189987106,56.19047619047619
DDR4-1.3333333,0,120,32412632083.958023,89.05508870214753,53.80952380952381
DDR4-1.3333333,0,140,30203998800.5997,88.16524028966425,54.285714285714285
DDR4-1.3333333,0,160,27912549325.33733,88.03699802501646,52.857142857142854
DDR4-1.3333333,0,180,26237687556.22189,87.91854290103137,54.285714285714285
DDR4-1.3333333,0,200,24824304647.676167,87.60352346066631,53.80952380952381
DDR4-1.3333333,0,220,23658429985.007496,87.62397523111808,54.76190476190476
DDR4-1.3333333,0,260,21631011694.152924,87.52956567242282,54.285714285714285
DDR4-1.3333333,0,300,19724157121.43928,87.07357337839595,52.857142857142854
DDR4-1.3333333,0,340,18529669565.217392,86.40657022302591,52.857142857142854
DDR4-1.3333333,0,380,17277889055.472263,86.14513906828554,52.38095238095238
DDR4-1.3333333,0,450,15278479160.41979,86.33660552828727,52.38095238095238
DDR4-1.3333333,0,550,13368333433.28336,85.43167517006802,52.38095238095238
DDR4-1.3333333,0,600,12567911244.377811,85.81820904462413,52.38095238095238
DDR4-1.3333333,0,700,11207052473.763119,85.0548044217687,51.42857142857142
DDR4-1.3333333,0,800,10084768815.592203,85.42414965986394,51.904761904761905
DDR4-1.3333333,0,900,9343050074.962519,85.12385204081632,51.904761904761905
DDR4-1.3333333,0,1000,8643176011.994003,84.70173659525922,50.476190476190474
DDR4-1.3333333,0,2000,5004905547.226387,83.34685581549692,49.047619047619044
DDR4-1.3333333,0,10000,1773932233.8830585,78.61625575085526,43.80952380952381
DDR4-1.3333333,10,0,106394089355.32236,185.18275418275417,163.33333333333331
DDR4-1.3333333,10,5,102301035082.45877,162.94784580498867,129.52380952380952
DDR4-1.3333333,10,10,99036478560.71965,151.30589569160995,118.09523809523809
DDR4-1.3333333,10,15,88724552923.53822,128.08347638120668,93.80952380952381
DDR4-1.3333333,10,20,81274252473.76312,117.50885526624442,88.09523809523809
DDR4-1.3333333,10,25,77337628785.6072,116.13836042891732,86.19047619047619
DDR4-1.3333333,10,30,74869330134.93254,112.35513549682167,81.42857142857143
DDR4-1.3333333,10,35,71899365517.24138,110.89823571705104,77.61904761904762
DDR4-1.3333333,10,40,65653358920.539734,104.61214103962196,75.71428571428571
DDR4-1.3333333,10,45,60342443178.4108,101.86587470809219,69.52380952380952
DDR4-1.3333333,10,50,58745830284.857574,100.85517762660619,67.61904761904762
DDR4-1.3333333,10,55,57243451874.06297,100.37004801920769,66.19047619047619
DDR4-1.3333333,10,60,56136213493.25338,100.2938675470188,67.14285714285714
DDR4-1.3333333,10,65,54549339730.13493,99.10504781622794,68.09523809523809
DDR4-1.3333333,10,70,52693330134.93254,98.38207801106054,64.28571428571428
DDR4-1.3333333,10,80,49508231484.257866,95.94965028264828,64.28571428571428
DDR4-1.3333333,10,90,43613169415.29236,94.11503635937133,60.95238095238095
DDR4-1.3333333,10,100,34912901949.02549,91.177641723356,57.61904761904761
DDR4-1.3333333,10,120,31777439280.35982,89.61748120300751,57.14285714285714
DDR4-1.3333333,10,140,29644636881.55922,90.4387980357706,56.19047619047619
DDR4-1.3333333,10,160,27695064467.76612,89.30149837712862,56.666666666666664
DDR4-1.3333333,10,180,25841204197.90105,88.6732485201873,54.285714285714285
DDR4-1.3333333,10,200,24616155922.038982,88.6405159466384,55.714285714285715
DDR4-1.3333333,10,220,23497566416.791607,88.60477957416732,53.80952380952381
DDR4-1.3333333,10,260,21407146026.986507,87.56035234606664,54.76190476190476
DDR4-1.3333333,10,300,19684528935.532234,87.81518542901031,53.80952380952381
DDR4-1.3333333,10,340,18479429085.45727,87.57674864817723,53.80952380952381
DDR4-1.3333333,10,380,17260492953.523235,87.62244897959184,53.33333333333333
DDR4-1.3333333,10,450,15339399100.449776,87.33346415489272,51.904761904761905
DDR4-1.3333333,10,550,13438388005.997002,86.48643761301989,53.33333333333333
DDR4-1.3333333,10,600,12650996101.949024,85.96406109613656,51.904761904761905
DDR4-1.3333333,10,700,11334534332.833584,85.74898387027766,52.857142857142854
DDR4-1.3333333,10,800,10214601499.250376,85.73477944636974,51.42857142857142
DDR4-1.3333333,10,900,9443598200.899551,85.82501176571257,52.857142857142854
DDR4-1.3333333,10,1000,8717529235.38231,85.58785778462328,52.38095238095238
DDR4-1.3333333,10,2000,5073146626.686658,83.55686323609198,49.52380952380952
DDR4-1.3333333,10,10000,1781992203.898051,79.42687074829932,45.714285714285715
DDR4-1.3333333,20,0,104673420089.95503,183.42167800453515,138.0952380952381
DDR4-1.3333333,20,5,101281381709.14543,163.99541021227768,128.57142857142856
DDR4-1.3333333,20,10,97945830284.85756,150.44427001569858,114.28571428571428
