type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,0,10000,1799253973.0134933,76.75521669341894,44.76190476190476
DDR4-1.3333333,10,0,101395564617.69116,196.9737609329446,176.66666666666666
DDR4-1.3333333,10,5,98365083058.47078,170.46003401360542,146.66666666666666
DDR4-1.3333333,10,10,95079234782.60869,157.0935178669169,132.38095238095238
DDR4-1.3333333,10,15,87151918440.77962,131.84615384615384,102.38095238095238
DDR4-1.3333333,10,20,81186600299.85008,121.383721630245,90.95238095238095
DDR4-1.3333333,10,25,77782471964.018,117.80424583626554,83.80952380952381
DDR4-1.3333333,10,30,75604533733.13344,116.0029978092932,86.19047619047619
DDR4-1.3333333,10,35,72977050674.66267,112.40643470502955,78.57142857142857
DDR4-1.3333333,10,40,66742731034.48276,105.37169021454734,73.80952380952381
DDR4-1.3333333,10,45,61959340329.83508,100.88087679516251,69.04761904761905
DDR4-1.3333333,10,50,61001614392.803604,100.11829731892757,69.04761904761905
DDR4-1.3333333,10,55,59552901949.02549,98.36656389174375,62.857142857142854
DDR4-1.3333333,10,60,58041120239.88006,98.12802818969314,66.19047619047619
DDR4-1.3333333,10,65,56656283058.470764,97.00255705118927,64.28571428571428
DDR4-1.3333333,10,70,55119448275.862076,96.05806266168439,63.33333333333333
DDR4-1.3333333,10,80,51713775112.44378,94.61252834467119,61.42857142857142
DDR4-1.3333333,10,90,45295217991.0045,91.66182714696617,58.095238095238095
DDR4-1.3333333,10,100,35753220989.50525,89.41767818238407,55.238095238095234
DDR4-1.3333333,10,120,32692514542.728638,88.54496863680536,53.33333333333333
DDR4-1.3333333,10,140,30285135832.083958,88.2477507131885,57.14285714285714
DDR4-1.3333333,10,160,28071733733.133434,87.82317314022383,53.80952380952381
DDR4-1.3333333,10,180,26326817391.304348,87.47710622710622,52.857142857142854
DDR4-1.3333333,10,200,24925054272.86357,87.07677975648858,52.38095238095238
DDR4-1.3333333,10,220,23795382308.845577,87.33682190825049,54.285714285714285
DDR4-1.3333333,10,260,21721955022.488758,86.75475540534684,52.38095238095238
DDR4-1.3333333,10,300,19866281259.370316,86.34323602858865,52.38095238095238
DDR4-1.3333333,10,340,18677167016.491756,86.03499764685749,53.33333333333333
DDR4-1.3333333,10,380,17448558920.53973,85.93004749069439,53.80952380952381
DDR4-1.3333333,10,450,15504561319.34033,85.37712585034012,51.904761904761905
DDR4-1.3333333,10,550,13536518140.929537,84.80550978155237,50.476190476190474
DDR4-1.3333333,10,600,12811255172.413794,84.67930029154519,51.42857142857142
DDR4-1.3333333,10,700,11474912143.928036,84.39783320735702,50.95238095238095
DDR4-1.3333333,10,800,10313201799.100449,84.02204585537919,50.95238095238095
DDR4-1.3333333,10,900,9489204197.90105,83.72371770794207,52.38095238095238
DDR4-1.3333333,10,1000,8743119640.17991,83.51145611618881,48.57142857142857
DDR4-1.3333333,10,2000,5100147526.236881,82.20830259814768,48.57142857142857
DDR4-1.3333333,10,10000,1814702248.8755624,76.92090395480226,43.33333333333333
DDR4-1.3333333,20,0,102496556521.73914,197.84590357882283,170.95238095238093
DDR4-1.3333333,20,5,99322741829.08546,172.3409110479635,142.38095238095238
DDR4-1.3333333,20,10,96013116641.67917,156.08797155225727,122.85714285714285
DDR4-1.3333333,20,15,86831803298.35083,131.15947148090004,96.19047619047619
DDR4-1.3333333,20,20,80872194302.84859,121.20239600264884,86.66666666666666
DDR4-1.3333333,20,25,77109061469.26537,116.39292982150126,82.38095238095238
DDR4-1.3333333,20,30,75465969415.29236,114.2202380952381,81.42857142857143
DDR4-1.3333333,20,35,72751438680.65967,111.46949836845306,78.09523809523809
DDR4-1.3333333,20,40,66259200000.00001,105.11371009942438,70.47619047619047
DDR4-1.3333333,20,45,61658904947.52624,99.56621480709072,65.23809523809524
DDR4-1.3333333,20,50,60228864767.616196,99.15034999507048,66.19047619047619
DDR4-1.3333333,20,55,58816489355.32234,98.16160133117995,67.61904761904762
DDR4-1.3333333,20,60,57582709445.27736,98.20980766407281,64.76190476190476
DDR4-1.3333333,20,65,55769149025.48726,96.79109374246151,63.33333333333333
DDR4-1.3333333,20,70,53998172113.94303,96.59362184590148,61.904761904761905
DDR4-1.3333333,20,80,50823685757.12144,94.14801782782078,60.476190476190474
DDR4-1.3333333,20,90,46776170314.84258,92.71280484983109,59.52380952380952
DDR4-1.3333333,20,100,35298235682.15892,89.60409953455066,55.714285714285715
DDR4-1.3333333,20,120,32286426386.806595,88.76159554730982,55.714285714285715
DDR4-1.3333333,20,140,29985036281.859074,88.65588832935772,54.76190476190476
DDR4-1.3333333,20,160,27839270764.617695,88.62496686986482,54.76190476190476
DDR4-1.3333333,20,180,25967477061.469265,87.6953601953602,54.76190476190476
DDR4-1.3333333,20,200,24663239580.209896,88.09330700021944,54.285714285714285
DDR4-1.3333333,20,220,23600129535.232388,87.86631555848146,53.80952380952381
DDR4-1.3333333,20,260,21485529235.38231,86.7960050262143,53.33333333333333
DDR4-1.3333333,20,300,19715761319.340332,86.7046665800078,53.33333333333333
DDR4-1.3333333,20,340,18547334332.833588,86.5532592783949,52.857142857142854
DDR4-1.3333333,20,380,17351906446.776615,86.02263295255209,52.857142857142854
DDR4-1.3333333,20,450,15424700449.775114,85.77589526376589,52.38095238095238
DDR4-1.3333333,20,550,13507569415.292355,85.22559523809524,51.42857142857142
DDR4-1.3333333,20,600,12780224287.856073,84.91228292559259,51.42857142857142
DDR4-1.3333333,20,700,11425208995.502249,84.71606033717835,51.904761904761905
DDR4-1.3333333,20,800,10307425487.256372,84.55102040816325,52.38095238095238
DDR4-1.3333333,20,900,9471203598.2009,84.18598303518938,49.52380952380952
DDR4-1.3333333,20,1000,8728275862.068966,83.77000125203455,50.476190476190474
DDR4-1.3333333,20,2000,5090542728.635682,82.23813621834275,49.047619047619044
DDR4-1.3333333,20,10000,1813627586.2068968,76.95326492178792,44.285714285714285
DDR4-1.3333333,30,0,105228281859.07048,209.66739926739928,179.52380952380952
DDR4-1.3333333,30,5,101330681859.07047,174.49877899877902,151.42857142857142
DDR4-1.3333333,30,10,97842259670.16492,156.5569630150911,126.66666666666666
DDR4-1.3333333,30,15,87630949325.33733,130.9739010989011,104.76190476190476
DDR4-1.3333333,30,20,81410331634.1829,120.82571789777857,88.09523809523809
DDR4-1.3333333,30,25,77318352023.988,114.97113130966672,84.28571428571428
DDR4-1.3333333,30,30,75515874062.96852,114.63208140399017,83.33333333333333
DDR4-1.3333333,30,35,72793216191.90405,112.145087543214,80.0
DDR4-1.3333333,30,40,66203250374.8126,104.38926104793062,70.0
DDR4-1.3333333,30,45,61263026086.95652,100.32227891156462,67.14285714285714
DDR4-1.3333333,30,50,59771730134.93253,99.23715863156856,67.14285714285714
DDR4-1.3333333,30,55,58487239580.2099,98.04884255860617,66.66666666666666
DDR4-1.3333333,30,60,57275087256.37182,97.23678328474247,65.23809523809524
DDR4-1.3333333,30,65,55335522638.680664,96.38167097825044,64.28571428571428
DDR4-1.3333333,30,70,53601285757.12144,95.68626611483755,63.33333333333333
DDR4-1.3333333,30,80,50303011694.15293,94.5553193499622,60.476190476190474
DDR4-1.3333333,30,90,46116864767.616196,92.7984173261141,59.52380952380952
DDR4-1.3333333,30,100,34548322638.68066,89.70117257429287,55.714285714285715
DDR4-1.3333333,30,120,31775357121.43928,89.08825752523232,54.76190476190476
DDR4-1.3333333,30,140,29534148125.937035,88.9631408118803,55.238095238095234
DDR4-1.3333333,30,160,27540850374.812595,88.76795653326265,54.76190476190476
DDR4-1.3333333,30,180,25770074962.51874,88.21084046521834,55.714285714285715
DDR4-1.3333333,30,200,24406260869.565216,87.94412991002852,54.285714285714285
DDR4-1.3333333,30,220,23462102548.72564,87.35090702947846,53.80952380952381
DDR4-1.3333333,30,260,21317143028.48576,86.81125698687119,54.76190476190476
DDR4-1.3333333,30,300,19532598500.749626,86.92556003293036,53.33333333333333
DDR4-1.3333333,30,340,18436106746.62669,87.06659733957277,52.857142857142854
DDR4-1.3333333,30,380,17180363418.290855,86.41621458710067,51.904761904761905
DDR4-1.3333333,30,450,15318510344.827587,85.82047661832028,52.38095238095238
DDR4-1.3333333,30,550,13407021289.355324,85.58588970179267,51.42857142857142
DDR4-1.3333333,30,600,12716416191.904049,85.37270408163265,52.857142857142854
DDR4-1.3333333,30,700,11384035982.008995,84.62500528161576,50.0
DDR4-1.3333333,30,800,10283850074.962519,84.55156969620145,50.476190476190474
DDR4-1.3333333,30,900,9399469865.067467,84.222810111699,50.476190476190474
DDR4-1.3333333,30,1000,8718872563.718142,83.62931430240808,50.476190476190474
DDR4-1.3333333,30,2000,5086647076.461769,82.0778214900418,47.14285714285714
