type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,108496935532.23389,218.13443472627145,216.19047619047618,155.5652648891316,108555201390.0
DDR4-1.3333333,0,5,104731317541.2294,180.23836376655925,161.9047619047619,120.60844651521117,104774369118.0
DDR4-1.3333333,0,10,102297676761.6192,165.08171461355627,149.04761904761904,121.84545754613644,102340896780.0
DDR4-1.3333333,0,15,96581277361.31935,125.81183299007675,107.61904761904762,101.48477503711938,96605949126.0
DDR4-1.3333333,0,20,90018648275.86208,111.90169510427121,89.04761904761904,85.12755287818882,90046942914.0
DDR4-1.3333333,0,25,89449883058.47076,109.91430765854729,90.47619047619047,88.12875970321899,89483728722.0
DDR4-1.3333333,0,30,87604485757.12144,109.14002721088434,90.95238095238095,88.77561371939034,87634434888.0
DDR4-1.3333333,0,35,85705019490.25487,105.00596546310831,83.33333333333333,81.93545979838649,85717813362.0
DDR4-1.3333333,0,40,78972392203.89806,98.66124420782805,76.66666666666666,75.9370481484262,78994721130.0
DDR4-1.3333333,0,45,77290074962.51874,96.29117562517965,74.28571428571428,73.46500458662511,77313544908.0
DDR4-1.3333333,0,50,75559263568.2159,94.70852229780802,72.85714285714285,72.1601875540047,75567863130.0
DDR4-1.3333333,0,55,73498799400.29987,94.26629134412386,69.52380952380952,68.91883822297096,73518602046.0
DDR4-1.3333333,0,60,71586437181.4093,92.6045629136008,70.95238095238095,70.15361800384045,71591901528.0
DDR4-1.3333333,0,65,67953943028.48576,89.55661475116362,65.23809523809524,64.8559958713999,67969107882.0
DDR4-1.3333333,0,70,65167544227.886055,87.54513343799059,63.80952380952381,63.306384832659624,65198190816.0
DDR4-1.3333333,0,80,60722739430.28486,84.84569231419276,62.857142857142854,62.046788301169705,60741259620.0
DDR4-1.3333333,0,90,56728889955.02249,82.58152958152957,60.0,59.54004673850116,56758444308.0
DDR4-1.3333333,0,100,50573625187.4063,79.1500553709856,54.76190476190476,54.35668260891707,50595340980.0
DDR4-1.3333333,0,120,45739188005.997,77.53304730983302,54.285714285714285,53.49215233730381,45760245924.0
DDR4-1.3333333,0,140,41633909445.27736,76.4911717495987,52.38095238095238,51.97052829926321,41666561676.0
DDR4-1.3333333,0,160,38136352623.688156,75.87486772486771,50.95238095238095,50.451832261295806,38159071722.0
DDR4-1.3333333,0,180,35151745727.13643,75.22937572819183,50.95238095238095,50.464579261614475,35168835750.0
DDR4-1.3333333,0,200,32486985307.34633,75.34874281204195,51.904761904761905,51.32108828302721,32496692826.0
DDR4-1.3333333,0,220,30153422488.755623,74.62592468681461,51.42857142857142,50.70257001756425,30162800952.0
DDR4-1.3333333,0,260,26749092653.67317,74.539347979629,50.476190476190474,49.736293243407324,26751666186.0
DDR4-1.3333333,0,300,24062368815.592205,74.16947648624667,50.476190476190474,50.03020250075506,24061784238.0
DDR4-1.3333333,0,340,21883355922.03898,74.33496896026169,49.52380952380952,49.13509097837727,21883512024.0
DDR4-1.3333333,0,380,20143544227.88606,73.73046515903658,49.047619047619044,48.65989396649735,20140249200.0
DDR4-1.3333333,0,450,17550114542.728638,73.95023661638568,49.52380952380952,48.964909224122735,17545916118.0
DDR4-1.3333333,0,550,15014716641.67916,73.55469755469755,50.95238095238095,50.33340875833522,15008428560.0
DDR4-1.3333333,0,600,14111865667.166418,73.45878136200716,49.52380952380952,49.12083272802082,14104947522.0
DDR4-1.3333333,0,700,12482072563.718142,73.23198741862336,49.047619047619044,48.47953696198842,12476988396.0
DDR4-1.3333333,0,800,10945103448.275862,73.68225776797206,49.52380952380952,48.75768871894221,10936514934.0
DDR4-1.3333333,0,900,10040237481.25937,73.22712310730743,50.0,49.37317548432939,10033033902.0
DDR4-1.3333333,0,1000,9228128335.832085,73.26815887645381,49.047619047619044,48.57071821426795,9220263816.0
DDR4-1.3333333,0,2000,5269608395.802099,72.26365043371845,48.095238095238095,47.4549641863741,5258815968.0
DDR4-1.3333333,0,10000,1916728035.982009,67.59473294268201,43.80952380952381,43.301052332526304,1916218362.0
DDR4-1.3333333,10,0,102816000000.0,198.74593315587106,190.0,132.93568307339206,102968213376.0
DDR4-1.3333333,10,5,99696119940.02998,165.34636505204492,151.9047619047619,116.9170919229273,99855416832.0
DDR4-1.3333333,10,10,93604125937.03148,150.3377438887643,134.76190476190476,108.71246821781169,93724566288.0
DDR4-1.3333333,10,15,87812164317.8411,121.27042321353319,101.9047619047619,95.11142112778552,87950512140.0
DDR4-1.3333333,10,20,78142080959.52026,110.44700460829493,90.0,87.36745193418629,78294432618.0
DDR4-1.3333333,10,25,77688035982.009,109.67341452710116,87.14285714285714,85.18550237963755,77811044058.0
DDR4-1.3333333,10,30,74131708545.72716,107.45733569018158,88.57142857142857,85.21048563026214,74262028650.0
DDR4-1.3333333,10,35,69423678560.71964,103.59946402803546,83.80952380952381,82.27134955678375,69538205688.0
DDR4-1.3333333,10,40,65876620089.955025,98.41609161650271,78.57142857142857,77.74819394370485,65980320768.0
DDR4-1.3333333,10,45,63235905247.37631,95.16274201988487,70.95238095238095,70.29927325748183,63339624300.0
DDR4-1.3333333,10,50,61847373913.04348,93.12008885186727,70.0,69.46457348661433,61933806210.0
DDR4-1.3333333,10,55,62181459670.16492,93.46039511695089,70.47619047619047,69.82435674560892,62276492004.0
DDR4-1.3333333,10,60,59996200299.850075,91.32671201814058,68.57142857142857,67.99177069979427,60099832440.0
DDR4-1.3333333,10,65,59294848575.71214,90.11916024688021,70.47619047619047,69.76193949404849,59392690212.0
DDR4-1.3333333,10,70,60898245277.36132,89.19598950691386,66.19047619047619,65.55227713880693,61007748222.0
DDR4-1.3333333,10,80,55102119340.329834,85.28312074829932,62.38095238095238,61.968606049215154,55184105430.0
DDR4-1.3333333,10,90,49095359520.23988,82.20219654126711,61.904761904761905,61.51117353777933,49175009136.0
DDR4-1.3333333,10,100,43027679760.11994,79.26582028160101,55.714285714285715,55.28633238215831,43107857838.0
